Longitude,Latitude,Name
14.676973,49.769021,"CNG Port Bene Benešov 24h credit cards, debit cards, fleet cards, CNG CardCentrum +420 775 588 883"
14.671817,50.177795,"Karoil Brandýs nad Labem 24h cash, credit cards, CNG CardCentrum +420 737 252 767"
16.623946,49.195254,"RWE Brno 24h CNG CardCentrum +420 724 167 750"
16.671389,49.183609,"Benzina Brno 24h cash, credit cards, debit cards, CNG CardCentrum +420 721 868 133"
16.629585,49.165615,"Benzina Brno 24h cash, credit cards, debit cards, CNG CardCentrum +420 724 258 723"
16.600495,49.179678,"Česká pošta Brno 24h credit cards, CNG CardCentrum +420 603 716 492"
14.544803,50.716410,"Vendys Česká Lípa 6-21 cash, credit cards, debit cards, CNG CardCentrum +420 777 725 571"
14.535652,50.678051,"innogy Česká Lípa 24h CNG CardCentrum +420 602 680 601"
14.491122,48.975632,"E.ON České Budějovice 24h credit cards, debit cards, CNG CardCentrum +420 724 258 723"
14.305180,48.818023,"Zliner Český Krumlov 24h credit cards, debit cards, CNG CardCentrum +420 605 527 390"
18.373114,49.676266,"GASCONTROL Frýdek Místek Mo-Fr 6-21, Sa+Su 7-19 cash, credit cards, debit cards +420 558 632 400"
18.410800,49.790210,"Benzina Havířov 24h cash, credit cards, debit cards, CNG CardCentrum +420 724 584 871"
18.446901,49.789249,"GASCONTROL Havířov Mo-Fr 6:30-15 cash, CNG CardCentrum +420 724 519 653"
17.092109,48.847169,"Česká pošta Hodonín Mo-Fr 5-19:30, Sa 5-13:30 credit cards, CNG CardCentrum +420 603 716 492"
15.806982,50.209625,"innogy Hradec Králové 24h CNG CardCentrum +420 721 868 133"
15.862064,50.228739,"Bonett Hradec Králové 24h cash, credit cards, debit cards, CNG CardCentrum +420 737 252 767"
15.876654,50.224021,"Dítě Hradec Králové 24h cash, credit cards, CNG CardCentrum +420 603 716 492"
16.203857,49.905468,"Hrušová u Vysokého Mýta 24h CNG CardCentrum +420 606 643 176"
12.756956,50.239637,"Bonett Chodov 24h cash, credit cards, debit cards, CNG CardCentrum +420 737 252 767"
16.404993,49.823487,"Benzina Janov u Litomyšlee 24h cash, credit cards, debit cards, fleet cards, CNG CardCentrum +420 724 584 871"
15.904459,50.342871,"Benzina Jaroměř 24h cash, credit cards, debit cards, CNG CardCentrum +420 724 584 871"
17.198416,50.226982,"EuroGas Jeseník Mo-Su 7:30-18:30 cash, credit cards, CNG CardCentrum +420 777 202 455"
17.179800,50.221727,"Jeseník 24h credit cards, debit cards, CNG CardCentrum +420 724 584 871"
15.600570,49.386257,"DPMJ Jihlava 24h cash, credit cards, debit cards, CNG CardCentrum +420 567 301 321"
15.022833,49.159576,"Jindřichův Hradec 24h credit cards, debit cards, CNG CardCentrum +420 605 527 390"
12.896324,50.240303,"innogy Karlovy Vary 24h CNG CardCentrum +420 602 202 717"
14.103602,50.129921,"ČSAD Kladno Kladno 24h cash, credit cards, debit cards, CNG CardCentrum +420 737 252 767"
15.220257,50.013943,"Kolín 24h credit cards, CNG CardCentrum +420 603 716 492"
14.019815,49.933144,"Lukoil Králův Dvůr 24h cash, credit cards, fleet cards, CNG CardCentrum +420 311 636 524"
17.722708,50.092983,"Santa-Trans Krnov 24h credit cards, debit cards, CNG CardCentrum +420 602 567 810"
15.255134,49.947232,"Benzina Kutná Hora 5-22h cash, credit cards, debit cards, CNG CardCentrum +420 724 584 871"
15.052436,50.744831,"ČSAD Liberec 24h cash, credit cards, debit cards, CNG CardCentrum +420 737 252 767"
13.778894,50.355114,"DPÚK/innogy Louny Mo-Fr 6-18h credit cards, debit cards, CNG CardCentrum +420 724 005 746"
14.852369,50.231174,"Švestka s.r.o. Milovice 24h cash, credit cards, debit cards +420 736 620 300"
14.932278,50.405329,"Benzina Mladá Boleslav 24h cash, credit cards, debit cards, CNG CardCentrum +420 724 584 871"
14.931557,50.405793,"Benzina Mladá Boleslav 24h cash, credit cards, debit cards, CNG CardCentrum +420 724 584 871"
13.643715,50.483664,"Vemex Most 24h credit cards, debit cards, CNG CardCentrum +420 603 716 492"
13.226084,49.707783,"Nýřany 24h credit cards, debit cards, CNG CardCentrum +420 603 716 492"
17.298286,49.589596,"EuroOil Olomouc 24h cash, credit cards, debit cards, CNG CardCentrum +420 737 252 757"
17.292875,49.589787,"Lukoil Olomouc 24h cash, credit cards, debit cards, fleet cards, CNG CardCentrum +420 603 716 492"
17.869495,49.952961,"Lukoil Opava 5-22 cash, credit cards, debit cards, fleet cards, CNG CardCentrum +420 603 716 492"
18.279196,49.843460,"innogy Ostrava 24h CNG CardCentrum +420 267 972 070"
18.254885,49.809547,"CNGVitall Ostrava 24h credit cards, debit cards, CNG CardCentrum +420 725 581 140"
18.283438,49.818902,"Vítkovice Ostrava 24h credit cards, debit cards, CNG CardCentrum +420 724 584 871"
18.293972,49.859573,"Lukoil Ostrava-Muglinov 5-22 cash, credit cards, CNG CardCentrum +420 596 243 918"
15.756004,50.028233,"Pardubice 24h CNG CardCentrum +420 466 899 289"
14.134185,49.304325,"Písek 24h credit cards, debit cards, CNG CardCentrum +420 605 527 390"
13.323013,49.733148,"Way CNG Plzeň 24h credit cards, debit cards, fleet cards, CNG CardCentrum +420 773 963 539"
13.377863,49.735023,"innogy Plzeň 24h CNG CardCentrum +420 606 632 624"
13.321907,49.750664,"Česká pošta Plzeň Mo-Fr 10-12, 16-18, 21-04, Sa 12 - Mo 04 credit cards, CNG CardCentrum +420 603 716 492"
13.404142,49.750567,"Benzina/innogy Plzeň 24h cash, credit cards, debit cards, fleet cards, CNG CardCentrum +420 267 972 070"
14.462716,50.055809,"PP Praha 4 24h cash, credit cards, debit cards, CNG CardCentrum +420 606 743 698"
14.404154,50.021534,"Q100 Praha 4 Hodkovičky 24h cash, credit cards, debit cards, CNG CardCentrum +420 606 743 698"
14.321664,50.093140,"Praha 6 Liboc 24h cash, credit cards, debit cards, CNG CardCentrum +420 606 743 698"
14.502801,50.098396,"PP Praha 9 24h cash, credit cards, debit cards, CNG CardCentrum +420 606 743 698"
14.356089,50.051865,"Jinonice Praha 5 24h cash, credit cards, debit cards, CNG CardCentrum +420 777 914 714"
14.443109,50.083832,"EuroOil Praha 3 24h cash, credit cards, debit cards, CNG CardCentrum +420 737 252 767"
14.510638,50.077592,"Vemex Praha 10 24h credit cards, debit cards, CNG CardCentrum +420 736 484 483"
14.532954,50.061129,"Tukas Praha 10 24h cash, credit cards, CNG CardCentrum +420 267 229 111"
14.506115,50.019870,"Agip Praha-Šeberov 24h cash, credit cards, debit cards, CNG CardCentrum +420 737 252 767"
17.132923,49.466297,"FTL Prostějov Mo-Fr 7-11:30h 12:30-18h Sa/Su 11-14h cash, CNG CardCentrum +420 582 365 995"
17.459255,49.436356,"SAD/Bonett Přerov 24h cash, credit cards, debit cards, CNG CardCentrum +420 737 252 757"
16.482954,49.789703,"Gulf Svitavy 24h cash, credit cards, debit cards, CNG CardCentrum +420 737 252 757"
15.820952,50.619934,"E.ON Svoboda nad Úpou 24h CNG CardCentrum +420 724 258 723"
14.688592,49.408482,"Comett Tábor 5:30-22 cash, credit cards, debit cards, CNG CardCentrum +420 737 262 292"
14.147201,50.507977,"Autoexpert/innogy Terezin 24h CNG CardCentrum +420 605 294 357"
16.417843,49.343328,"ČSAD Tišnov 24h cash, credit cards, debit cards, CNG CardCentrum +420 602 285 210"
15.897675,49.201675,"TEDOM Třebíč 24h CNG CardCentrum +420 725 891 099"
17.468187,49.056065,"Uherské Hradiště 24h cash, credit cards, debit cards, CNG CardCentrum +420 775 371 633"
16.026211,50.505600,"E.ON Úpice 24h CNG CardCentrum +420 724 258 723"
14.004229,50.660393,"Četrans Ústí nad Labem 24h cash, CNG CardCentrum +420 777 702 268"
17.962105,49.496915,"Benzina Valašské Meziříčí 6-20 cash, credit cards, debit cards, fleet cards, CNG CardCentrum +420 724 584 871"
16.021046,49.349417,"Bonett Velké Mezirící 24h cash, credit cards, debit cards, CNG CardCentrum +420 737 252 757"
15.347654,49.521957,"Benzina Vystrkov (Humpolec) 24h cash, credit cards, debit cards, fleet cards, CNG CardCentrum +420 724 258 723"
16.876543,49.889074,"Zábřeh Mo-Fr 5-19 Sa 8-11 credit cards, CNG CardCentrum +420 603 716 492"
17.563545,49.203867,"Makro Zlín 5-22 credit cards, debit cards, fleet cards, CNG CardCentrum +420 724 258 723"
17.707923,49.220793,"Benzina Zlín 24h +420 724 584 871"
16.071346,48.831398,"EIKA Znojmo 24h cash, credit cards, debit cards, fleet cards +420 737 285 191"
16.071728,48.852093,"Znojmo 24h CNG CardCentrum +420 724 313 911"
15.947883,49.554528,"E.ON Ždár nad Sázavou 24h +420 724 258 723"
13.894368,49.870754,"CNG Company Žebrák 24h credit cards, debit cards, CNG CardCentrum +420 737 252 767"
16.898186,48.777475,"Břeclav 24h +420 724 258 723"
14.015948,49.697282,"Autoexpert/E.ON Příbram 24h CNG CardCentrum +420 605 294 357"
14.460308,50.169266,"Lukoil Zdiby 24h cash, credit cards, debit cards, CNG CardCentrum +420 601 587 470"
13.983492,49.661087,"Česká pošta Příbram 24h credit cards, CNG CardCentrum +420 601 587 470"
13.998683,50.657364,"Benzina Ústí nad Labem-město 5-22 cash, credit cards, debit cards, CNG CardCentrum +420 724 584 871"
17.007245,49.287682,"Caroil Vyškov 24h cash, credit cards, CNG CardCentrum +420 737 252 757"
13.276607,49.404390,"Total Klatovy 24h cash, credit cards, debit cards, CNG CardCentrum +420 737 252 767"
15.100300,49.746511,"Zruč nad Sázavou 6-22 cash, credit cards, fleet cards, CNG CardCentrum +420 725 892 311"
14.647875,49.996974,"Profi Auto Říčany 24h cash, credit cards, CNG CardCentrum +420 602 207 481"
14.484333,49.001367,"E.ON České Budějovice 6-22h cash, debit cards, CNG CardCentrum +420 724 258 723"
17.226745,49.585196,"Benzina/innogy Olomouc 5-22h cash, credit cards, fleet cards, CNG CardCentrum +420 267 972 070"
17.299234,49.572529,"Benzina Olomouc 5-22 cash, credit cards, debit cards, fleet cards, CNG CardCentrum +420 724 584 871"
16.629928,48.812971,"Benzina Mikulov 5-22h cash, credit cards, debit cards, fleet cards, CNG CardCentrum +420 724 584 871"
17.401337,49.277861,"Benzina Kroměříž 24h cash, credit cards, debit cards, fleet cards, CNG CardCentrum +420 724 584 871"
16.279333,49.270365,"Benzina Přibyslavice 24h cash, credit cards, debit cards, fleet cards, CNG CardCentrum +420 724 584 871"
